firstName,lastName,slotName,teamName
Brandon,Goodwin,G,
Trent,Forrest,G,
Tim,Frazier,G,
Hassani,Gravett,G,
Josh,Gray,G,
R.J.,Hampton,G,
Ashton,Hagans,G,
Jared,Harper,G,
George,Hill,G,
Trevor,Hudgins,G,Houston Rockets
Frank,Jackson,G,
Aaron,Holiday,G,Houston Rockets
Mike,James,G,
David,Johnson,G,
Rokas,Jokubaitis,G,
Tyler,Johnson,G,
Cory,Joseph,G,Golden State Warriors
Brandon,Knight,G,
Saben,Lee,G,Phoenix Suns
Jeremy,Lin,G,
Yam,Madar,G,
Theo,Maledon,G,
Karim,Mane,G,
Frank,Mason,G,
Jeremiah,Martin,G,
Nico,Mannion,G,
JaQuori,McLaughlin,G,
Emmanuel,Mudiay,G,
Mychal,Mulder,G,
Shabazz,Napier,G,
Raul,Neto,G,
Elie,Okobo,G,
Elfrid,Payton,G,
Jaysean,Paige,G,
Scotty,Pippen,G,
Chasson,Randle,G,
Trevelin,Queen,G,
Grant,Riller,G,
Justin,Robinson,G,
Rajon,Rondo,G,
Devontae,Shuler,G,
Zavier,Simpson,G,
Javonte,Smart,G,
Dennis,Smith Jr.,G,Brooklyn Nets
Keifer,Sykes,G,
Jeff,Teague,G,
David,Stockton,G,
Tyrell,Terry,G,
Isaiah,Thomas,G,
Luca,Vildoza,G,
Breein,Tyree,G,
Allonzo,Trier,G,
Derrick,Walton,G,
Brad,Wanamaker,G,
Tremont,Waters,G,
Brandon,Williams,G,
Cassius,Winston,G,
Nigel,Williams-Goss,G,
McKinley,Wright,G,
Marcus,Zegarowski,G,
Justin,Wright-Foreman,G,
Derrick,Alston,W,
Al-Farouq,Aminu,W,
Justin,Anderson,W,
Carmelo,Anthony,W,
Dominick,Barlow,W,
Trevor,Ariza,W,
Paris,Bass,W,
Keita,Bates-Diop,W,Phoenix Suns
Troy,Baxter,W,
Michael,Beasley,W,
Tyler,Bey,W,
DeAndre',Bembry,W,
Brian,Bowen,W,
Ignas,Brazdeikis,W,
Troy,Brown,W,Minnesota Timberwolves
DeMarre,Carroll,W,
Bruno,Caboclo,W,
Yoeli,Childs,W,
Zylan,Cheatham,W,
Julian,Champagnie,W,San Antonio Spurs
Wilson,Chandler,W,
Gary,Clark,W,
CJ,Elleby,W,
Torrey,Craig,W,Chicago Bulls
James,Ennis,W,
Robert,Franks,W,
Aleem,Ford,W,
Kaiser,Gates,W,
Josh,Hall,W,
Rayshaun,Hammonds,W,
Maurice,Harkless,W,
Aaron,Henry,W,
Malcolm,Hill,W,
Ron,Harper,W,
Solomon,Hill,W,
Rondae,Hollis-Jefferson,W,
Daulton,Hommes,W,
William,Howard,W,
Chandler,Hutchison,W,
Feron,Hunt,W,
Andre,Iguodala,W,
Josh,Jackson,W,
Justin,Jackson,W,
Justin,James,W,
B.J.,Johnson,W,
Stanley,Johnson,W,
Jemerrio,Jones,W,
Michael,Kidd-Gilchrist,W,
Braxton,Key,W,Denver Nuggets
Georgios,Kalaitzakis,W,
Louis,King,W,Philadelphia 76ers
George,King,W,
Arnoldas,Kulboka,W,
Rodions,Kurucs,W,
Kyle,Korver,W,
Anthony,Lamb,W,
Vic,Law,W,
Timothe,Luwawu-Cabarrot,W,
Jake,Layman,W,
Kelan,Martin,W,
Sean,McDermott,W,
Cameron,McGriff,W,
Alfonzo,McKinnie,W,
C.J.,Miles,W,
Darius,Miller,W,
Dzanan,Musa,W,
Abdel,Nader,W,
Svi,Mykhailiuk,W,
James,Nunnally,W,
David,Nwaba,W,
Devonte,Patterson,W,
Jamorko,Pickett,W,
Sir'Dominic,Pointer,W,
Yves,Pons,W,
Nate,Renfro,W,
Glenn,Robinson,W,
Matt,Ryan,W,
JaKarr,Sampson,W,
Nate,Sestina,W,
Jordan,Schakel,W,
Xavier,Sneed,W,
Lance,Stephenson,W,
Lance,Thomas,W,
Justin,Tillman,W,
Tres,Tinkle,W,
Juan,Toscano-Anderson,W,
Jarrod,Uthoff,W,
Dylan,Windler,W,
James,Young,G,
Kellan,Grady,G,
Markquis,Nowell,G,Toronto Raptors
Seth,Lundy,W,Atlanta Hawks
